review,sentiment_label
Really So nice laptop. Bulid quality is good. Touch is so smooth workingREAD MORE,positive
"Initial Impression - The built quality is good and appears to be sturdy . Keypad is ergonomically designed and of good quality.  Touch screen is responsive.Cons Battery backup is not so great. The biggest dampner is not providing backlit keyboard. During charging, the laptop did appear slightly warm. At this price, it appears to bit over priced.READ MORE",negative
Nice laptop not for high productivity work. It's a laptop for student and normal work purpose.READ MORE,negative
Very badREAD MORE,negative
Performance 👍 goodREAD MORE,positive
Battery back is not adequateAlso sometimes take time to boot when shutdownOtherwise satisfying laptopREAD MORE,negative
i am really happy with laptop.READ MORE,positive
Average laptop design feel little bulky and little high priceREAD MORE,negative
One of the best laptop on this price.Its fingerprint word quickly and screen touch display word smoothly just like Mobile phone.Battery performance is not good.It's ram is expandable.Display quality is also goodREAD MORE,positive
READ MORE,positive
Good quality but battery performance low.READ MORE,negative
Overall a good laptop under 45k.Display is good. Battery is okay. Design is excellent. Compact and easy to carry. Performance is good for normal usage. You can't play games in higher settings. Ryzen 5 5500U is better for gaming in this price range.READ MORE,positive
GoodREAD MORE,positive
Good product for normal usageREAD MORE,positive
Except the battery life (backup) and build quality This product is not that badREAD MORE,positive
Everything is good but battery backup is worstREAD MORE,negative
