review,sentiment_label
If you are student just go for it..READ MORE,positive
Nice battery backup for normal use....READ MORE,negative
"The laptop is good value for the price specially if there are some offers. The build quality is sturdy and feels solid. The matte finish looks and feels great. Performance is good for moderate users like browsing, worksheets, casual gaming etc. Im using it for my office work and getting 5 hours plus battery backup.The processor is quite power efficient and the laptop works silently with no or very minimal fan noise. The speakers are good and wifi is fast. Only downside is the display which is...READ MORE",positive
"The screen is not that good, the rest is fine.A finger print scanner was needed.READ MORE",negative
"GREAT PERFORMANCE,SNAPPY, WONDERFUL BATTERY LIFE BECAUSE OPF RYZEN 3 7320USCREEN QUALITY IS AVG.BUT SINCE IT COMES WITH MS OFFICE 2021 ITS ABLE TO GET THE BASIC JOBS OF OFFICE AND NORMAL USE NICELY.VERY GOOD CHOICE UNDER 32K IF OFFER IS AVAILABLE.READ MORE",positive
Nice laptop.. Under 40000 thousands budget... Go for itREAD MORE,positive
"Performance is nice at this price. Only issue is with the display. But the display is better than what the other famous vendors like Dell, HP or Lenovo are providing and is also quite bright. It is also light weight for a 15.6 inch laptop. The build is very much sturdy and design looks stylish. Drawbacks:No backlit keyboard.No fingerprint scanner.No SD card slot.Only 2 USB Type-A slots.No RAM upgrade options.Highlights:LPDDR5 RAM 5500MhzProcessor is great and is also power efficient...READ MORE",positive
Nice laptop under 40k Fabulous performance 😍I use i3 11th gen but ryzen 7320u is beastDisplay is ok Display is better than other brandBuild quality is impressive ☺️Battery backup is nice ☺️READ MORE,positive
Value for money...The Ryzen 7000 series chipset is very light and fast... For students and light Office work it is best at this price.READ MORE,positive
Good product value for money very fast deliveryREAD MORE,positive
Nic productSatisfiedREAD MORE,positive
Good product 👍READ MORE,positive
Best laptop for studentsREAD MORE,positive
Except the ram everything is best at this price.. only the un upgradablity of ram disappointed me.READ MORE,positive
Good 😊READ MORE,positive
"Excellent, It's super fast and has the best stylish designREAD MORE",positive
Best laptop for coding and day to day usagePerformance is too good Build quality is awesomeFast charger is goodBattery backup more than 5 hoursSound quality is goodOnly thing backlit keyboard is missingOverall good productREAD MORE,positive
Good product. All good but camera and sound quality a little bit poor.READ MORE,negative
Best laptop under 35000 value for money go for it if you student this is best for you..Performance..⭐⭐⭐⭐Battery ⭐⭐⭐⭐Display ⭐⭐⭐⭐ also very good don't listen others commentsBuild quality ⭐⭐⭐⭐⭐ is superb ☺️READ MORE,positive
I Purchased this laptop under 40k 💴💸And this price range laptop is excellent 👌Build Quality is Plastic but Good Material Use 🪣Display Quality is also Average 😎Battery backup🔋 5-6 Hrs in Normal UseProcesser Is Fast And responsive 💯Overall Is Good Laptop under 40kFor students and office work Thank You 😊READ MORE,positive
Good value for moneyREAD MORE,positive
"Best product from Asus, charging is super fast and lights are amazing, overall best product in this price range 👍READ MORE",positive
This product was amazing but display and camera not enough this price  it has  to much  costlyREAD MORE,negative
"I bought this Laptop in 29k in summer sale after applying card offers and etc. So in this price range, it's perfect value for money in my case.Pros:-(1) Design is good. light weight laptop.(2) Battery is around 4-5 hours.(3) Processor is working faster than older version of Ryzen 3 and also nice for multi-tasking.(4) Boot-up time is pretty fast. Around 5-6 seconds.(5) DTS sound is good and its working fine in supported devices and also in in-built speakers.Cons:-(1) VRAM is low(2) ...READ MORE",positive
Overall Good product.READ MORE,positive
Good job with build qualityREAD MORE,positive
Super product.. go for itREAD MORE,positive
It is a good laptop for office and e learning. Some usual wimdows 11 issues are there. Battery life is not so impressive too.READ MORE,positive
👍👍👍👍 good performanceREAD MORE,positive
This product has been working good so farREAD MORE,positive
"Overall this is a good product, display could have been better as it's a bit whitish.Tip: Don't use Microsoft Edge browser, Use Chrome Browser you will get more battery life.READ MORE",negative
Nice 👌 product 👍👍👌👍READ MORE,positive
ONE NUMBER CHIJJ     SUB LEVO GOODREAD MORE,positive
amazing productREAD MORE,positive
FineREAD MORE,positive
Not very good compared priceREAD MORE,negative
Leptop is okBut display is below average 🥲READ MORE,negative
Overall best product at this priceREAD MORE,positive
Nice productREAD MORE,positive
"Writing this review after one month.I brought this laptop to learn coding and this does the job without any issue till now.everything is fine except the viewing angle of the screen, it could have been better but considering the perfomance and battery it's ok.READ MORE",negative
Everything is perfect except displayDisplay is poorREAD MORE,negative
