review,sentiment_label
"It's a beast, i just bought it for react-native development as secondary machine but after using i have made it as primary machine.READ MORE",positive
Laptop is blazing fast 🔥🔥READ MORE,positive
"Excellent performance, display, sound quality.Just too heavy.READ MORE",negative
Very good product but. Not for all Only if you need a pro performance for your work you can go for it but for normal users M1 will more enough..READ MORE,positive
Best laptop I have ever usedREAD MORE,positive
"In a single word, it’s awesome laptop u ever buyREAD MORE",positive
"Great product, no such feature found that can stop you to buy it except it’s price.It’s costly for Indian market but performance wise wowed.Battery life is also great lasts 17 hours what apple claims.In first 4-6 hours it seems that it’s not using its battery, remains 99-100%READ MORE",positive
Its such a hunk.Battery backup for Movies is 2 days !Never hanged like Windows and extraordinary display.Only issue is Software compatibility for M1 chip. Rest goodREAD MORE,positive
Excellent product. Definitely lives up to the hype and can handle any task thrown at it with ease. The battery lasts ages and it isn't plagued with any of the issues prevalent in the previous generation macs with x86 processor architecture.READ MORE,positive
GreatREAD MORE,positive
blazingly fast in performance but price is costly. Apple is again coming back earlier models of Mac iPhones at times of Steve jobs.Heavier than intel chip counterparts.READ MORE,positive
Best product.READ MORE,positive
Great product and delivary also very goodREAD MORE,positive
It's amazingREAD MORE,positive
