review,sentiment_label
Excellent 👌 leptopREAD MORE,positive
Awesome  I am so happyREAD MORE,positive
Great productREAD MORE,positive
Good ProductREAD MORE,positive
See this on upside display issuesREAD MORE,positive
My laptop problem not resloved How to my work running daily...READ MORE,negative
Very bad battery backup up to 1.45hrs battery while working and playing online videos.Don't think to buy this product Total waste of moneyI feel very bad after buying the productREAD MORE,negative
Edited: I received this laptop today. I ordered it after going through all reviews and some research. The system is too slow after initial setup. Now Im not sure if its some configuration issue or product defect. I have contacted the dell support team. Hopefully this will be resolved soon.READ MORE,negative
Dead slow system performanceFrequent word crashREAD MORE,negative
GoodREAD MORE,positive
"Very nice laptop,battery is very nice and ms office is for lifetime...It is very nice laptop under 40kREAD MORE",positive
"Worst laptop of dell, it takes 5 minutes to start or shut down.  Hangs frequently. It's been only two days since I've bought this pathetic product and it's already giving me problems. 8 GB Ram isn't fully utilised.Please don't buy this product, better to go for Acer or Asus.READ MORE",negative
Good product... Would be more user friendly if available in 14 inch screen.READ MORE,positive
Good productREAD MORE,positive
Such a great product..READ MORE,positive
excellent performance and good battery lifeREAD MORE,positive
Not working properlyREAD MORE,negative
"Very good , look no 1 but little slow Battery 🔋 is goodREAD MORE",positive
GoodREAD MORE,positive
Value to purchasedREAD MORE,positive
Having heating problem with this laptop.READ MORE,negative
GoodREAD MORE,positive
Amazing productREAD MORE,positive
Good productREAD MORE,positive
Hanging issue ..m facing no worthREAD MORE,negative
I am not satisfied with this laptop.READ MORE,negative
This product in performance is not good.slow performanceREAD MORE,negative
Good oneREAD MORE,positive
Not working properly very very bad quality itemREAD MORE,negative
Enjoying this Laptop.READ MORE,positive
Good .awesomeREAD MORE,positive
Good luckREAD MORE,positive
Very slow processingREAD MORE,negative
It was goodREAD MORE,positive
Very bad productREAD MORE,negative
Good performanceREAD MORE,positive
Awesome laptopREAD MORE,positive
Superb LaptopREAD MORE,positive
Nice productREAD MORE,positive
Build quality is not much as expected.. Just an average budget laptop.. That's all..READ MORE,negative
"Harddisk failed within a few months of light use. Waiting for Dell support. It's been 10 days still the issue is not fixed. Dell support sucks, never buy Dell productsREAD MORE",negative
"System performance is very bad, dead slow you need to wait for 10 second for each comment, Felt like 1GB RAM.READ MORE",negative
